Ndex,MS,English,Japanese,Japanese,Japanese
Ndex,MS,English,Kana,Hepburn,Trademarked
152,,Chikorita,チコリータ,Chikorīta,Chicorita
153,,Bayleef,ベイリーフ,Beirīfu,Bayleaf
154,,Meganium,メガニウム,Meganiumu,Meganium
155,,Cyndaquil,ヒノアラシ,Hinoarashi,Hinoarashi
156,,Quilava,マグマラシ,Magumarashi,Magmarashi
157,,Typhlosion,バクフーン,Bakufūn,Bakphoon
158,,Totodile,ワニノコ,Waninoko,Waninoko
159,,Croconaw,アリゲイツ,Arigeitsu,Alligates
160,,Feraligatr,オーダイル,Ōdairu,Ordile
161,,Sentret,オタチ,Otachi,Otachi
162,,Furret,オオタチ,Ōtachi,Ootachi
163,,Hoothoot,ホーホー,Hōhō,Hoho
164,,Noctowl,ヨルノズク,Yorunozuku,Yorunozuku
165,,Ledyba,レディバ,Rediba,Rediba
166,,Ledian,レディアン,Redian,Redian
167,,Spinarak,イトマル,Itomaru,Itomaru
168,,Ariados,アリアドス,Ariadosu,Ariados
169,,Crobat,クロバット,Kurobatto,Crobat
170,,Chinchou,チョンチー,Chonchī,Chonchie
171,,Lanturn,ランターン,Rantān,Lantern
172,,Pichu,ピチュー,Pichū,Pichu
173,,Cleffa,ピィ,Pī,Py
174,,Igglybuff,ププリン,Pupurin,Pupurin
175,,Togepi,トゲピー,Togepī,Togepy
176,,Togetic,トゲチック,Togechikku,Togechick
177,,Natu,ネイティ,Neiti,Naty
178,,Xatu,ネイティオ,Neitio,Natio
179,,Mareep,メリープ,Merīpu,Merriep
180,,Flaaffy,モココ,Mokoko,Mokoko
181,,Ampharos,デンリュウ,Denryū,Denryu
182,,Bellossom,キレイハナ,Kireihana,Kireihana
183,,Marill,マリル,Mariru,Maril
184,,Azumarill,マリルリ,Mariruri,Marilli
185,,Sudowoodo,ウソッキー,Usokkī,Usokkie
186,,Politoed,ニョロトノ,Nyorotono,Nyorotono
187,,Hoppip,ハネッコ,Hanekko,Hanecco
188,,Skiploom,ポポッコ,Popokko,Popocco
189,,Jumpluff,ワタッコ,Watakko,Watacco
190,,Aipom,エイパム,Eipamu,Eipam
191,,Sunkern,ヒマナッツ,Himanattsu,Himanuts
192,,Sunflora,キマワリ,Kimawari,Kimawari
193,,Yanma,ヤンヤンマ,Yan'yanma,Yanyanma
194,,Wooper,ウパー,Upā,Upah
195,,Quagsire,ヌオー,Nuō,Nuoh
196,,Espeon,エーフィ,Ēfi,Eifie
197,,Umbreon,ブラッキー,Burakkī,Blacky
198,,Murkrow,ヤミカラス,Yamikarasu,Yamikarasu
199,,Slowking,ヤドキング,Yadokingu,Yadoking
200,,Misdreavus,ムウマ,Mūma,Muma
201,,Unown,アンノーン,Annōn,Unknown
202,,Wobbuffet,ソーナンス,Sōnansu,Sonans
203,,Girafarig,キリンリキ,Kirinriki,Kirinriki
204,,Pineco,クヌギダマ,Kunugidama,Kunugidama
205,,Forretress,フォレトス,Foretosu,Foretos
206,,Dunsparce,ノコッチ,Nokotchi,Nokocchi
207,,Gligar,グライガー,Guraigā,Gliger
208,,Steelix,ハガネール,Haganēru,Haganeil
209,,Snubbull,ブルー,Burū,Bulu
210,,Granbull,グランブル,Guranburu,Granbulu
211,,Qwilfish,ハリーセン,Harīsen,Harysen
212,,Scizor,ハッサム,Hassamu,Hassam
213,,Shuckle,ツボツボ,Tsubotsubo,Tsubotsubo
214,,Heracross,ヘラクロス,Herakurosu,Heracros
215,,Sneasel,ニューラ,Nyūra,Nyula
216,,Teddiursa,ヒメグマ,Himeguma,Himeguma
217,,Ursaring,リングマ,Ringuma,Ringuma
218,,Slugma,マグマッグ,Magumaggu,Magmag
219,,Magcargo,マグカルゴ,Magukarugo,Magcargot
220,,Swinub,ウリムー,Urimū,Urimoo
221,,Piloswine,イノムー,Inomū,Inomoo
222,,Corsola,サニーゴ,Sanīgo,Sunnygo
223,,Remoraid,テッポウオ,Teppouo,Teppouo
224,,Octillery,オクタン,Okutan,Okutank
225,,Delibird,デリバード,Deribādo,Delibird
226,,Mantine,マンタイン,Mantain,Mantain
227,,Skarmory,エアームド,Eāmudo,Airmd
228,,Houndour,デルビル,Derubiru,Delvil
229,,Houndoom,ヘルガー,Herugā,Hellgar
230,,Kingdra,キングドラ,Kingudora,Kingdra
231,,Phanpy,ゴマゾウ,Gomazō,Gomazou
232,,Donphan,ドンファン,Donfan,Donfan
233,,Porygon2,ポリゴン２,Porigon Tsū,Porygon2
234,,Stantler,オドシシ,Odoshishi,Odoshishi
235,,Smeargle,ドーブル,Dōburu,Doble
236,,Tyrogue,バルキー,Barukī,Balkie
237,,Hitmontop,カポエラー,Kapoerā,Kapoerer
238,,Smoochum,ムチュール,Muchūru,Muchul
239,,Elekid,エレキッド,Erekiddo,Elekid
240,,Magby,ブビィ,Bubī,Buby
241,,Miltank,ミルタンク,Mirutanku,Miltank
242,,Blissey,ハピナス,Hapinasu,Happinas
243,,Raikou,ライコウ,Raikō,Raikou
244,,Entei,エンテイ,Entei,Entei
245,,Suicune,スイクン,Suikun,Suicune
246,,Larvitar,ヨーギラス,Yōgirasu,Yogiras
247,,Pupitar,サナギラス,Sanagirasu,Sanagiras
248,,Tyranitar,バンギラス,Bangirasu,Bangiras
249,,Lugia,ルギア,Rugia,Lugia
250,,Ho-Oh,ホウオウ,Hōō,Houou
251,,Celebi,セレビィ,Serebī,Celebi
