EN symbol,JP symbol,English name,Japanese name,EN cards,JP cards,EN release date,JP release date,Set abb.
—,,—,PLAY Promotional cards,—,32,—,"January, 2003 - January, 2006",—
,—,POP Series 1,—,17,—,"September, 2004 - August, 2005",—,P1
,—,POP Series 2,—,17,—,"August, 2005 - April, 2006",—,P2
,—,POP Series 3,—,17,—,"April - August, 2006",—,P3
,—,POP Series 4,—,17,—,"August, 2006 - March, 2007",—,P4
,—,POP Series 5,—,17,—,"March - September, 2007",—,P5
—,,—,PPP Promotional cards,—,7,—,"May, 2007",—
,—,POP Series 6,—,17,—,"September, 2007 - March, 2008",—,P6
,—,POP Series 7,—,17,—,"March - September, 2008",—,P7
,—,POP Series 8,—,17,—,"September, 2008 - March, 2009",—,P8
,—,POP Series 9,—,17,—,"March - September, 2009",—,P9
